sibling#n. 兄弟或姊妹
brocade#n. 织锦
fraction#n. 碎片；小部分
cloudburst#n. 大暴雨
fatal#adj. 致命的；毁灭性的
lumen#n. 流明（光通量单位）；内腔
invidious#adj. 惹人反感的，导致伤害和仇恨的，招人嫉妒的
bequeath#v. 遗赠
dilapidate#v. （使）荒废，（使）毁坏
plagiarize#v. 剽窃，抄袭
scuttle#n. 舷窗，舱口盖
collected#adj. 泰然自若的
botany#n. 植物学
cogent#adj. 有说服力的
intrigue#v. 密谋；引起…极大兴趣
deed#n. 作为；（土地或建筑物的）转让契约、证书
dexterity#n. 熟练，灵巧
earplug#n. 耳塞
scotch#v. 镇压，粉碎
locomotion#n. 运动；移动
flutter#v. 拍翅
shoddy#n. 劣质的，冒充好货的
medium#n. 媒介；手段
fluvial#adj. 河流的，生长在河中的
brackish#adj. （指水）略咸的；不好吃的
gastritis#n. 胃炎
ugly#adj. 难看的，恶性的
prosperous#adj. 富足的；繁荣的
persecute#v. 迫害；骚扰；纠缠
connive#v. 默许；纵容
eaglet#n. 小鹰
gamble#v. 赌博；以…为赌注；冒险
vulture#n. 秃鹫
maleficent#adj. 有害的；犯罪的
enclosure#n. 围场；圈用地
flock#n. 羊群；鸟群
viable#adj. 可行的；能活下去的
tenuous#adj. 稀薄的；脆弱的
sacrilege#n. 亵渎，冒犯神灵
overdose#n. （药物等的）过量
petitioner#n. 请愿人；上诉人；上诉请求离婚者
comatose#adj. 昏迷的
devour#v. 吞食；贪婪地读
subvention#n. 补助金，津贴
flay#v. 剥皮；严厉指责
intellect#n. 智力，思维能力
accolade#n. 推崇；赞扬；荣誉
untold#adj. 无数的，数不清的
constitutional#adj. 章程的，法规的；体质上的，本质的
caprice#n. 奇思怪想，变化无常，任性
transfer#v. 转移，传递；调任，转让
veneer#n. 镶面板；外表
gait#n. 步法，步态
erasure#n. 擦掉，擦痕
fossilize#v. 使…成为化石；使…过时
torture#v. 拷打；折磨
friction#n. 摩擦；矛盾，冲突
hue#n. 色彩，色调
shibboleth#n. 过时的观点；陈旧的原则
meditative#adj. 沉思的，冥想的
objection#n. 反对，异议；反对的理由
supervise#v. 监督，管理
characterization#n. 描绘，刻画
offspring#n. 儿女，后代；（动物的）崽
subject#n. 受支配的人，隶属
artistry#n. 艺术技巧
cross#adj. 生气的
enamel#n. 珐琅，瓷釉
diminution#n. 减小；减弱；降低
spartan#adj. 简朴的；刻苦的
trample#v. 踩坏，践踏
observatory#n. 天文台；观象台
square#v. 一致，符合；结清
sock#v. 重击，痛打
distill#v. 蒸馏
slurp#v. 大声地啜喝
rigor#n. 严酷；严格，苛刻；严密，精确
gnarled#adj. （树木）多节的；皮肤粗糙的；关节扭曲的
swank#v. 夸耀，炫耀
consensus#n. 意见一致
gauche#adj. 笨拙的，不会社交的
hemisphere#n. 半球；（地球的）半球；[解]大脑的半球
trawl#v. 用拖网捕鱼；搜罗
penalize#v. 对…予以惩罚；使处于不利地位
induction#n. 就职，入伍仪式；归纳；电磁感应
obsess#v. 迷住；使…困扰；缠住
mongrel#n. 杂种动物；混血儿
cupidity#n. 贪婪，贪心
curb#v. 控制，抑制
deviant#adj. 反常的；离经叛道的
potentate#n. 统治者，当权者
fetish#n. （崇拜的）物神，偶像
regressive#adj. 退步的，退化的
drawbridge#n. 吊挢
piecemeal#adv. 逐渐地；零碎地；一件一件
collision#n. 碰撞，冲突
vain#adj. 自负的；徒劳的
assertive#adj. 过分自信的；有进取心的
knoll#n. 小山；小圆丘
stranded#adj. 搁浅的，处于困境的
subjugate#v. 征服，镇压
hardy#adj. 耐寒的；强壮的
spell#n. 连续的一段时间
ascetic#n. 苦行者
supplant#v. 排挤，取代
detonation#n. 爆炸，爆炸声
labile#adj. 不稳定的
dullard#n. 愚人，笨蛋
unearthly#adj. 奇异的
sleight#n. 巧妙手法，巧计；灵巧
harrowing#adj. 令人伤心的；令人无比痛苦的
dominant#adj. 显性的，优势的
subjective#adj. 主观的
unwarranted#adj. 无端的；无正当理由的
asphyxiate#v. （使）无法呼吸，窒息而死
woodcut#n. 木刻，木刻画
lubricant#n. 润滑剂
estimable#adj. 值得尊敬的；可估计的
swarthy#adj. （皮肤等）黝黑的
exactitude#n. 精确；准确；严谨；严格
unsubstantiated#adj. 未经证实的，无事实根据的
calamity#n. 大灾祸，不幸之事
limn#v. 描写，描述；勾画
glacial#adj. 冰河的，冰川的；冷若冰霜的；冷淡的
ragtime#adj. 使人发笑的，滑稽的
apron#n. 围裙
genial#adj. 友善的；和蔼可亲的；（气候）温暖的
retainer#n. 侍从
coy#adj. 腼腆的，忸怩的
defeatist#n. 失败主义者
philatelist#n. 集邮家
knack#n. 诀窍；本领
penchant#n. 爱好，嗜好
legible#adj. （字迹）清晰可辨的，清楚易读的
ligneous#adj. 木质的，木头的
diurnal#adj. 白昼的；白天的；日间活动的
generate#v. 造成；产生；发电
personable#adj. 英俊的，风度好的；品貌兼优的
perfunctorily#adv. 敷衍地；马虎地；浅薄地
consent#v. 同意，允许
muffle#v. 使声音降低；裹住
serried#adj. 密集的
frivolous#adj. 轻浮的，轻佻的
trustworthy#adj. 值得信赖的，可靠的
dictum#n. 格言，声明
glut#n. 供过于求；供应过剩
concur#v. 意见相同，一致
volatile#adj. 反复无常的；挥发性的
ferment#v.&n. （使）发酵；骚动
cougar#n. 美洲豹
propagate#v. 繁殖，培植（植物）；传播
granule#n. 颗粒，微粒
inaugural#adj. 就职的，就任的
clemency#n. 温和；仁慈，宽厚
unravel#v. 解开，拆散
monolithic#adj. 独石的；庞大的；整体的
attune#v. 使调和
release#n. 释放
batch#n. 一批，一炉
regale#v. 款待；使…享受
accomplished#adj. 完成了的；有技巧的，有造诣的
slit#n. 裂缝
windy#adj. 有风的；长篇累牍的
generalize#v. 归纳，概括；推广
arch#n. 拱门，拱形
smart#adj. 时髦的；聪明的
turret#n. 塔楼，角塔；炮塔
cephalic#adj. 头的，头部的
baroque#n.&adj. （艺术、建筑等）过分雕琢（的）
deify#v. 奉为神；崇拜
deserter#n. 背弃者，逃亡者
custody#n. （类似监狱的）监禁，关押
underscore#v. 在…之下划线；强调
lottery#n. 彩票；全凭运气的事
pastiche#n. 模仿作品；（融合各种风格的）集成之作
sensation#n. 知觉；轰动（的事）
putative#adj. 公认的；推定的
allocate#v. 配给，分配
four#n. 四人赛艇
lode#n. 矿脉
spindly#adj. 细长而瘦弱的，纤弱的
appropriate#adj. 恰当的
contagious#adj. 传染的，有感染力的
verify#v. 证明，证实
unfasten#v. 解开
parable#n. （圣经中的）寓言故事
propulsion#n. 推进力
pithy#adj. （讲话或文章）简练的
crest#n. 山顶，浪尖；羽冠
interchangeable#adj. 可互换的
dispensable#adj. 不必要的，可有可无的
ferry#v. 运送
interminable#adj. 无休止的；冗长的
nude#n. 裸体者
fertilizer#n. 肥料，化肥
lucrative#adj. 赚钱的，获利多的
mackintosh#n. 雨衣；防水胶布
unspoiled#adj. 未损坏的，未宠坏的
backhanded#adj. 间接的；反手击球的
sovereignty#n. 主权，统治权
elegy#n. 哀歌，挽歌
rigid#adj. 硬性的，刚硬的
detonate#v. （使）爆炸，引爆
disheveled#adj. （指毛发或衣服）凌乱的
impinge#v. 影响；冲击
facet#n. （宝石等的）小平面
squelch#v. 压制，镇压
optimization#n. 优化，最佳化
shuck#n. （植物的）壳，夹；无用之物
stickler#n. 坚持细节之人
sloven#n. 不修边幅的人
conciliatory#adj. 抚慰的，调和的
incontrovertible#adj. 无可辩驳的；不容置疑的
vista#n. 远景，全景；展望
ignominy#n. 耻辱，污辱，不名誉
escalation#n. 逐步扩大，逐步增加
gloss#v. 注解，注释
noxious#adj. 有害的，有毒的；令人厌恶的
interlocutor#n. 对话者，谈话者
hexagon#n. 六角形，六边形
herpetologist#n. 爬行动物学家
eclectic#adj. 折衷的，综合性的
affront#v. 侮辱，冒犯
lavish#adj. 浪费的；丰富的
solder#v. 焊接，焊合
surfeit#v. 使过量
civil#adj. 国内的；公民的；文明的
canary#n. 金丝雀；女歌星
nautical#adj. 海上的，航海的；海员的
trinket#n. 廉价首饰；小装饰物
boor#n. 举止粗野的人；乡下人
reek#v. 发臭味；冒烟
vestment#n. （作礼拜时教士的）法衣，官服
hierarchy#n. 等级制度；统治集团；等级体系
categorical#adj. 无条件的，绝对的；分类的
demolition#n. 破坏，拆毁
monstrous#adj. 巨大的；可怕的；骇人听闻的
repressed#adj. 被压制的，被压抑的
accessory#adj. 附属的，辅助的，次要的
marshal#v. 整理；安排，组织
crudity#n. 粗鲁
ecstatic#adj. 狂喜的，心花怒放的
pane#n. 窗格玻璃
studied#adj. 故意的；慎重的
chromosome#n. 染色体
entangle#v. 使纠缠，缠住
longing#n. 渴望；热望；憧憬
whit#n. 一点儿，少量
jot#v. 摘要记录
ratify#v. 批准（协定等）
quench#v. 熄灭（火）；抑制（欲望）
ocular#adj. 眼睛的；视觉的
awry#adj. 扭曲的，出错的
bubble#n. 气泡，水泡
ruminant#adj. （动物）反刍的；沉思的
hyperbole#n. 夸张法
bibliophile#n. 爱书者，藏书家
vent#n. 通风孔；排气口
inebriate#n. 酒鬼，酒徒
saunter#n.&v. 闲逛，漫步
blurb#n. 简介；印在书籍封套上的推荐广告
ethnic#adj. 种族的；民族的
insecticide#n. 杀虫剂
indeterminate#adj. 不确定的，不明确的，模糊不清的
orifice#n. 小开口，小孔
foreknowledge#n. 预知
barometer#n. 气压计；晴雨表
elm#n. 榆树，榆木
overshadow#v. 遮蔽，使失色
ultramundane#adj. 超俗的；世界之外的
foster#v. 培养，鼓励；领养
closed#adj. 倔强的，顽固的
buffer#v. 缓冲，为…充当缓冲器
protrude#v. 突出，伸出
tire#v. 疲劳
hurdle#v. （在跑步过程中）跳跃，跨越
tightfisted#adj. 吝啬的
log#n. 一段大木头；圆木
secretive#adj. 守口如瓶的
pluck#v. 采；摘；拔；拉；抽；弹（乐器）
fosse#n. 护城河；壕堑
oppress#v. 压迫，压制；使心情沉重；使压抑
mortality#n. 死亡率
temerity#n. 鲁莽，大胆
overflow#v. 溢出；洋溢
exonerate#v. 免除责任；确定无罪
mesa#n. 平顶山
clairvoyance#n. 超人的洞察力
lump#v. 结成块
racy#adj. 活泼的，生动的
enrapture#v. 使狂喜，使高兴
memento#n. 纪念品
intentional#adj. 存心的，故意的
oasis#n. 绿洲；宜人之地；开心之时
decipher#v. 解开（疑团）；破译（密码）
informer#n. 告发者，告密者
acme#n. 顶点，极点
precipitate#adj. （行动或决定）仓猝的，贸然的，突然的
probity#n. 诚实，正直
apparel#n. （精致的）衣服
accurate#adj. 精确的，准确的
devotional#adj. 献身的
fasten#v. 拴紧，使固定；集中注意力于
lash#v. 鞭打；捆住
disinter#v. 挖掘出（尸体）
verse#n. 诗歌
rambunctious#adj. 骚乱的；（兴奋）控制不了的
hunk#n. 大块，大片；高大健壮的男子
harbor#v. 庇护；隐匿
aspiration#n. 抱负，热望
manumit#v. 解放（奴隶）
exaltation#n. （成功带来的）得意，高兴
ambivalent#adj. （对人或物）有矛盾看法的
euphoria#n. 幸福愉快感
abdicate#v. 退位，辞职，放弃
decrepit#adj. 衰老的，破旧的
mystic#n. 神秘主义者
closet#adj. 秘密的
floppy#adj. 松软的；懒散的
snappish#adj. 脾气暴躁的
constant#n. 常数
landlocked#adj. 被陆地包围的；内陆的
stout#adj. 肥胖的；强壮的；结实的；坚决的
pathos#n. 感伤，哀婉，悲怆
epoch#n. 纪元；重大的事件
unspotted#adj. 清白的；无污点的
render#v. 呈递，表现；提供
buoy#v. 支持，鼓励
tamp#v. 压实，夯实
din#n. 喧闹声，嘈杂声
narcissist#n. 自负的人，自恋者
resilience#n. 弹性，弹力
simile#n. 明喻
slue#v. （使）旋转；使侧滑
voluble#adj. 健谈的；易旋转的
mite#n. 极小量；小虫
harpsichord#n. 大键琴；有键竖琴
centralization#n. 集中；集权化
solicitude#n. 关怀，牵挂
verge#n. 边缘
grit#v. 咬紧牙关
imprint#v. 压印；铭刻，使牢记
tempo#n. （动作、生活的）步调，速度
ventral#adj. 腹的，腹部的，腹侧的
abandon#v. 放弃；放纵
grant#v. 给予；授予；承认
episodic#adj. 偶然发生的，不连贯的
fainthearted#adj. 懦弱的，无精神的；胆小的
estrange#v. 使疏远
ebullience#n. 兴冲冲，亢奋
negate#v. 取消；否定
inferno#n. 大火灾
file#v. 锉平
voracity#n. 贪婪
bonnet#n. 圆帽，扁平软帽
hoop#n. （桶之）箍；铁环；篮筐
sheaf#n. 一捆，一束
vie#v. 竞争
intractable#adj. 倔强的；难管的
banter#n. 打趣，玩笑
bauxite#n. 铝土岩（产铝的矿土、石）
transcendent#adj. 超越的，卓越的，出众的
perfunctory#adj. 潦草的；敷衍的；马马虎虎的
abrasive#adj. 磨损的；生硬粗暴的
outwit#v. 智胜；用计击败（或超过）
aspersion#n. 诽谤，中伤
gadfly#n. 虻，牛虻；讨厌的人；有意搅扰他人者
punch#v. 以拳猛击；挥舞拳头；按（键等）；戳，刺（洞）
wrangle#v. 争吵，吵架
efficacious#adj. 有效的
bureaucracy#n. 官僚政治
metamorphose#v. 变形，改变
arsenal#n. 军械库
scab#n. 创口上所结的疤、痂
cherubic#adj. （尤指孩子）胖乎乎而天真无邪的
fecundity#n. 多产，富饶；繁殖力，生殖力
lectern#n. 教堂里的读经台
despise#v. 鄙视，藐视
conclusive#adj. 最后的，结论的；确凿的，消除怀疑的
agility#n. 敏捷
ferrous#adj. 含铁的
consort#n. 配偶
placate#v. 抚慰，安抚；使平静
patriotism#n. 爱国主义；爱国精神；爱国心
needlework#n. 缝纫，刺绣
snitch#v. 告密；偷窃
diva#n. 歌剧女主角
pinnacle#n. 尖塔；顶峰；极点；顶点
assault#n. 突然袭击；猛袭
unassuming#adj. 低调的；谦逊的
quell#v. 制止，镇压
foray#n.&v. 突袭，偷袭
beverage#n. 饮料
convince#v. 使确信；说服
jamboree#n. 大型聚会；庆祝会
covet#v. 渴望；贪求；觊觎
magisterial#adj. 有权威的；威风的
insulin#n. 胰岛素
parturition#n. 生产，分娩
communal#adj. 全体共用的，共享的
coddle#v. 溺爱；悉心照料
roister#v. 喝酒喧哗
recuperate#v. （身体）恢复，康复
squash#n. （软式）墙网球； 南瓜小果（主要种类为笋瓜 winter squash 和西葫芦 summer squash）； 果汁汽水； 拥挤的人群
alienate#v. 疏远，离间某人
crabbed#adj. 脾气坏的；易怒的
fang#n. （毒蛇的）尖牙
larder#n. 食品室
viscous#adj. 粘的
chameleon#n. 变色龙，蜥蜴；善变之人
debar#v. 禁止
bucolic#adj. 乡村的；牧羊的
plain#n. 平原；平地
sedate#adj. 镇静的
chrysanthemum#n. 菊，菊花
ripple#n. 细浪，涟漪
centaur#n. 人头马怪物
willowy#adj. 苗条的
chronic#adj. 慢性的，长期的
pundit#n. 权威人士，专家
slanderous#adj. 诽谤的
menial#n. 家仆
heir#n. 继承人
typo#n. 排印错误；打字错误
slice#n. 薄片
custodian#n. 管理员，监护人
hammer#n. 锤子，槌
beleaguer#v. 围攻；骚扰
explicit#adj. 清楚明确的
exceed#v. 超过；超出
sweltering#adj. 酷热的
charisma#n. （大众爱戴的）领袖气质；魅力
extremist#n. 极端分子；极端主义者
sneer#v. 嘲笑，鄙视
dominate#v. 控制，支配
jest#v. 说笑话；开玩笑
green#adj. 未熟的；无经验的
extraneous#adj. 外来的；无关的
desuetude#n. 废止，不用
iridescence#n. 彩虹色
bystander#n. 旁观者
avowal#n. 声明
perishing#adj. 严寒的；（饥、寒等）令人极难受的
evict#v. （依法）驱逐
constraint#n. 强制，强迫；对感情的压抑
hypodermic#adj. 皮下注射的
premeditate#v. 预先考虑；预先计划；预谋
impregnable#adj. 攻不破的；不可战胜的
agony#n. 极大痛苦
grief#n. 悲伤；悲痛
hodgepodge#n. 混杂物；大杂烩
pith#n. 精髓，要点
avuncular#adj. 慈祥的；伯（叔）父的
tint#v. 给…淡淡地着色
ulterior#adj. 隐秘的，别有用心的；在那边的；进一步的
puissant#adj. 强有力的，强大的
obstacle#n. 障碍；障碍物
uxorious#adj. 宠爱妻子的
bouquet#n. 花束；芳香
scoop#v. （用勺子）取出，舀出
souse#v. 浸在水中，使湿透
barbecue#n. 烤肉架；烤肉
balk#v. 妨碍；畏缩
signature#n. 签名，签字
limber#v. （做运动）使身体灵活；（赛前）做准备活动
appease#v. 使平静，安抚
chandelier#n. 枝形吊灯（烛台）
soot#n. 黑烟灰，油烟
dour#adj. 严厉的
virility#n. 雄劲，大丈夫气
symbiosis#n. 共生（关系）；互惠互利的关系
veterinary#adj. 兽医的
discount#n. 折扣
freckle#n. 雀斑，斑点
accumulate#v. 积聚，积累
imperturbable#adj. 冷静的，沉着的；不易激动的
pillory#v. 使受公众批评；使受羞辱；给…上颈手枷
fatigue#n. 疲乏，劳累
delirious#adj. 神志不清的
clinical#adj. 临床的；冷静客观的
defer#v. 拖延；听从
leeward#n. 下风
stupendous#adj. 巨大的，大得惊人的
charm#n. 魅力；咒语，咒符
ingredient#n. 成分；要素
comprehensible#adj. 能充分理解的
sojourn#v.&n. 逗留，寄居
deft#adj. 灵巧的，熟练的
boulder#n. 巨砾
platonic#adj. 柏拉图哲学的；（两性之间关系）纯精神友谊的
confidant#n. 心腹朋友，知己
tenant#n. 房客
euphemism#n. 婉言，委婉的说法
detract#v. 减损，贬低；转移
artery#n. 动脉，命脉
halfhearted#adj. 不认真的；不热心的
photosynthesis#n. 光合作用
poncho#n. 斗篷；雨衣
cuff#v. 上手铐
butt#n. 粗大的一端；烟蒂
abysmal#adj. 极深的；糟透的
proclamation#n. 宣布，公布；公告
eradicate#v. 根除；消灭
feign#v. 假装，伪装
merit#v. 值得；应受到
meet#adj. 合适的
snip#v. 剪断
revolt#v. 叛乱，造反；反感
fledge#v. （鸟）长羽毛；用羽毛覆盖；在…上装羽毛；喂养
obnoxious#adj. 令人不愉快的；可憎的
gusher#n. 喷油井
conform#v. 符合或遵守公认的规则
vicious#adj. 残酷的，恶毒的
fault#n. 错误；（地质学）断层
reverberate#v. 发出回声；回响；回荡
innocence#n. 无辜，清白
molten#adj. 熔化的
attain#v. 达到，实现
ban#n. 禁令
hermetic#adj. 密封的；不透气的；不受外界干扰的，与外界隔绝的
mangy#adj. （兽）疥癣的；污秽的
trophy#n. 奖品，战利品
juggernaut#n. 摧毁一切的强大力量
pamphlet#n. 小册子
aplomb#n. 沉着，镇静
pullulate#v. （种子）发芽；充满；聚集
exceptionable#adj. 可提出异议的
hectic#adj. 兴奋的；忙乱的
requisite#adj. 必要的
offence#n. 冒犯，得罪；违法行为；进攻队
heretical#adj. 异端的，异教的
shear#v. 剪（羊毛），剪发
obeisance#n. 鞠躬，敬礼；尊敬，敬重
scroll#n. 卷轴，纸卷；画卷
idol#n. 神像；偶像
eddy#n. 漩涡，涡流
spurious#adj. 假的；伪造的
dalliance#n. 虚度光阴；调情
peer#n. 同龄人，同辈；贵族
extenuate#v. 掩饰（罪行），减轻罪过
envisage#v. 设想；想象
progeny#n. 后代，子女
eulogy#n. 颂词，颂文
flagrant#adj. 臭名远扬的；明目张胆的
capitation#n. 人头税
gross#n. 总量，总额
cone#n. 松果；圆锥体
detraction#n. 贬低，诽谤
oracle#n. 传神谕者，神使
freelancer#n. 自由职业者
tremulous#adj. 颤抖的，打战的
indefatigable#adj. 不知疲倦的；不屈不挠的
superfluous#adj. 多余的，累赘的
sledgehammer#n. 长柄大锤
sift#v. 筛，过滤
rejoice#v. 喜欢，高兴
band#n. 带；乐队；衣带；价值
collection#n. 收藏品
auspices#n. 资助，赞助
immemorial#adj. 无法追忆的；远古的，古老的
guttle#v. 狼吞虎咽
fallow#adj. （土地）休耕的
lope#v. （轻松而大步地）慢跑，缓跑
congruent#adj. 全等的，一致的
prescription#n. 处方，药方；处方药；对策
vacillate#v. 游移不定，踌躇
coward#n. 胆小鬼
thwart#v. 阻挠，使…受挫
tasty#adj. 味道鲜美的，可口的
vibrate#v. 颤动，振动
enlightening#adj. 有启迪作用的；使人领悟的
taciturn#adj. 沉默寡言的
chafe#v. 摩擦生热；擦痛；激怒
clip#v. 修剪
school#n. 鱼群
economical#adj. 经济的，节约的
grumpy#adj. 脾气暴躁的
safeguard#n. 防范措施
expend#v. 花费；用光
exasperate#v. 激怒，使恼怒
irritation#n. 愤怒，急躁，刺激
rewarding#adj. 有益的，值得做的
scabrous#adj. 粗糙的
emphatic#adj. 重视的，强调的
discipline#n. 纪律；惩罚，处分
fascinate#v. 迷惑，迷住
impact#n. 冲击，撞击；影响
accomplice#n. 同谋者，帮凶
cognizant#adj. 知道的，认识的
purity#n. 纯洁，纯净；纯度
applicable#adj. 生效的，适合的
forebear#n. 祖宗，祖先
comity#n. 礼让，礼仪
unify#v. 统一，使成一体；使相同
finicky#adj. 苛求的，爱挑剔的
ludicrous#adj. 荒唐的；可笑的
environs#n. 郊外，郊区
satirize#v. 讽刺
callus#n. 老茧，胼胝
impervious#adj. 不能渗透的；无动于衷的，不受影响的
bathetic#adj. 假作悲伤的；陈腐的
villainous#adj. 邪恶的；可憎的；坏透的
stern#n. 船尾
epaulet#n. 肩章，肩饰
imprudent#adj. 轻率的，不谨慎的
idiom#n. 习语；特色
tributary#n.&adj. 支流（的）
distress#n. 痛苦，悲痛
disillusion#v. 梦想破灭，醒悟
ridge#n. 脊（如屋脊，山脊等）；隆起物
uninitiated#adj. 外行的，缺乏经验的
crumble#v. 弄碎；崩溃
penance#n. 补赎；悔罪；忏悔
disintegrate#v. 分裂，（使）瓦解
assess#v. 确定，评定；估计…的质量
excavate#v. 挖掘；挖出
jargon#n. 行话
constitute#v. 组成，构成；建立
gangling#adj. 瘦长得难看的
limestone#n. 石灰岩
consign#v. 托运；托人看管
cub#n. 幼兽；年轻无经验的人
fiasco#n. 大失败，惨败
locus#n. 地点，所在地
spruce#adj. 整洁的
reincarnate#v. 使化身，转生
rapids#n. 急流，湍流
glance#v.&n. 一瞥
damn#adj. 该死的
piddling#adj. 无关紧要的，微不足道的
convene#v. 集合；召集
hatchet#n. 短柄小斧
agape#adj.&adv. （嘴）大张着的/地
rendezvous#n. 约会；约会地点
lustrous#adj. 有光泽的
vulpine#adj. 狐狸般的，狡猾的
die#n. 金属模子，模具
defy#v. 反抗，藐视
rabid#adj. 患狂犬病的；偏激的
firebrand#n. 燃烧的木块；政治煽动者
larva#n. （昆虫的）幼虫
bard#n. 吟游诗人
skinflint#n. 吝啬鬼
conciliate#v. 安抚，驯服
contumely#n. 无礼，傲慢
wry#adj. 扭曲的；冷嘲性幽默的
vestige#n. 痕迹，遗迹
privation#n. 贫乏，贫困
brawl#v.&n. 争吵，打架
pastor#n. 牧师
amethyst#n. 紫水晶
stationary#adj. 静止的，不动的
foresight#n. 远见，深谋远虑
zealotry#n. 狂热行为，狂热
interpose#v. 置于…之间；使介入
annotate#v. 注解
congregate#v. 聚集，集合
intestate#adj. 无遗嘱的
nipping#adj. 尖酸的；刺骨的
threat#n. 威胁，恐吓
misrepresentation#n. 歪曲；误传
memorial#adj. 纪念的，悼念的
tensile#adj. 张力的，可伸展的，可拉长的
colonize#v. 建立殖民地
restorative#adj. 恢复健康的
misshapen#adj. 畸形的，扭曲变形的
scabbard#n. （刀剑）鞘
farce#n. 闹剧；胡闹
static#adj. 静态的，呆板的
rabies#n. 狂犬病；恐水病
rostrum#n. 领奖台；指挥台
serrated#adj. 呈锯齿状的
scramble#v. 攀登；争夺
disproof#n. 反证，反驳
ode#n. 颂诗；颂歌
grievous#adj. 严重的；极痛苦的
verbose#adj. 冗长的，罗嗦的
fallible#adj. 会犯错的，易犯错的
carpenter#n. 木匠
teem#v. 充满；到处都是；下倾盆大雨
limp#adj. 软弱的，松软的
levy#v. 征税
stipulate#v. 要求以…为条件；约定
beget#v. 产生，引起，导致
naysayer#n. 怀疑者，否定者
levelheaded#adj. 头脑冷静的；稳健的
biped#n. 两足动物
rectangle#n. 长方形，矩形
genteel#adj. 上流社会的；彬彬有礼的；有教养的
mesmerize#v. 对…催眠；迷住
prowl#v. 潜行；悄悄巡行
nuptial#adj. 婚姻的，婚礼的
aspect#n. （问题等的）方面；面貌，外表
excoriate#v. 撕去皮；严厉指责
prone#adj. 俯卧的；易于…的
winkle#v. 费劲地找出；设法搞到
beacon#n. 烽火；灯塔
dissociate#v. 分离，游离，分裂
reprisal#n. （政治或军事的）报复
recast#v. 重铸；更换演员
prate#v. （古时用语）唠叨，啰唆
seafaring#adj. 航海的，跟航海有关的
hygiene#n. 卫生学；卫生
plagiarism#n. 剽窃，抄袭；剽窃物；抄袭物
entrust#v. 委托；托付
incompatible#adj. 不能和谐共存的；不相配的；不兼容的
eligible#adj. 合格的
resignation#n. 听从，顺从；辞职
interstice#n. 细裂缝，空隙
hemostat#n. 止血器；止血剂
disagreeable#adj. 讨厌的；难相处的
shrivel#v. （使）枯萎
gull#v. 欺骗
calumniate#v. 诽谤，中伤
accede#v. 同意
shoot#n. 嫩芽，新芽
heartrending#adj. 令人心碎的，伤心的
quay#n. 码头
hinterland#n. 内地；腹地；内陆地区
offend#v. 得罪，冒犯；触怒；违背
judicious#adj. 有判断力的；明智的
denouement#n. （小说的）结尾，结局
precipitant#n. 沉淀剂
premature#adj. 过早的；提前的；早产的；草率的
nonentity#n. 无足轻重的人
rivalry#n. 竞争，对抗
parlous#adj. 靠不住的，危险的
crochet#v. 用钩针编织
revue#n. 时事讽刺剧
nonpareil#n. 无可匹敌的人或物；全善全美的人
ghastly#adj. 可怕的；令人不快的
affordable#adj. 能够支付的
pygmy#n. 矮人，侏儒
quiver#n. 箭筒，箭囊
vernacular#n. 本国语，地方语
tease#n. 揶揄，戏弄，取笑
marked#adj. 明显的；受监视的
equilibrium#n. 平衡
disguise#v. 假扮；掩饰
dictate#v. 口授；命令
accessible#adj. 易达到的；易受影响的
lapidary#n. 宝石工，宝石专家
prowess#n. 英勇；深厚的造诣；高超的技艺
dangle#v. 悬荡；吊胃口
eliminate#v. 除去，淘汰
liability#n. 责任；债务；累赘
palliate#v. 减轻（痛苦）；掩饰（罪行等）
discomfiture#n. 狼狈，难堪
justifiable#adj. 有理由的，无可非议的
multitude#n. 多数；大众，平民
fruition#n. 实现，完成
elaborate#adj. 精致的，复杂的  ɪˈlæbəret vi. 详尽地说明，阐明
asparagus#n. [植]芦笋，龙须菜（可作蔬菜）
conserve#v. 保全，保存
lingual#adj. 舌的；语言的
salutary#adj. 有益的，有益健康的
exert#v. 行使，运用（力量等）
violate#v. 违反，触犯
guilt#n. 罪行，有罪；内疚
bovine#adj. （似）牛的；迟钝的
hirsute#adj. 多毛的
ewe#n. 母羊
layman#n. （基督教中的）平信徒；门外汉，外行
mold#v. 塑造；制模；发霉
provocation#n. 挑衅；煽动；刺激；激怒
complacency#n. 满足，安心
dwindle#v. 减少，缩小
calumny#n. 诽谤，中伤
pledge#v. 发誓；保证；许诺拨（款）；许诺给予；用…抵押
truancy#n. 逃学，旷课
tariff#n. 关税
garble#v. 曲解，窜改
asinine#adj. 愚笨的
egotist#n. 自私自利者
gaudy#adj. 俗丽的
sensitivity#n. 敏感，灵敏性
pier#n. 桥墩；码头
dissect#v. 解剖
hostile#adj. 敌对的；怀有敌意的；（情况）不利的
enunciate#v. 发音；（清楚地）表达
millennium#n. 一千年；（未来的）太平盛世
gaseous#adj. 似气体的；气态的
excruciate#v. 施酷刑，拷问，折磨
raid#n. 突然袭击
chaff#n. 谷物的皮壳，米糠
granite#n. 花岗石，花岗岩
bust#n. 半身（雕）像
conformist#n. 尊奉者，英国国教徒
roil#v. 煽动，搅浑
exacerbate#v. 加重，恶化
pell#adv. 混乱地
august#adj. 威严的，高贵的
artillery#n. 大炮；炮兵
doggerel#n. 歪诗，打油诗，蹩脚诗
snare#n. 罗网，陷阱
monarch#n. 君主，帝王
